伊弉諾神宮,伊弉諾尊 伊弉冉尊,兵庫県淡路市多賀740,134.8524756,34.4600042
八倉比売神社,八倉比売命,徳島県徳島市国府町矢野531,134.4801756,34.0589363
田村神社,田村大神 (倭迹迹日百襲姫命、五十狹芹彦命、猿田彦大神、天隠山命、天五田根命の5柱の総称),香川県高松市一宮町字宮東286番地,134.024714,34.2842323
大山祇神社,大山積神,愛媛県今治市大三島町宮浦3327番地,133.0049172,34.2484125
土佐神社,味鋤高彦根神 一言主神,高知県高知市一宮しなね2丁目16-1,133.5769853,33.5926473
筥崎宮,応神天皇 神功皇后 玉依姫命,福岡県福岡市東区箱崎一丁目22-1,130.4222298,33.6145192
高良大社,高良玉垂命 八幡大神 住吉大神,福岡県久留米市御井町1番地,130.565469,33.301986
宇佐神宮,八幡大神 比売大神 神功皇后,大分県宇佐市南宇佐2859,131.3747127,33.526026
西寒多神社,西寒多大神,大分県大分市寒田1644,131.5984016,33.1727331
與止日女神社,與止日女命,佐賀県佐賀市大和町大字川上1,130.2682719,33.3263982
阿蘇神社,健磐龍命 阿蘇都比咩命 ほか10柱,熊本県阿蘇市一の宮町宮地3083-1,131.1158808,32.9479899
都農神社,大己貴命,宮崎県児湯郡都農町大字川北13294,131.5580679,32.2623838
鹿児島神宮,天津日高彦穂々出見尊 豊玉比売命,鹿児島県霧島市隼人町内2496,130.7387354,31.7535889
新田神社,邇邇芸尊 天照大神 天押穂耳尊,鹿児島県薩摩川内市宮内町1935-2,130.2930673,31.8275544
益救神社,天津日高彦火々出見命,鹿児島県熊毛郡屋久島町宮之浦277,130.5717782,30.427173
天手長男神社,天忍穂耳尊 天手力男命 天鈿女命,長崎県壱岐市郷ノ浦町田中触730,129.7024666,33.7640765
海神神社,豊玉姫命,長崎県対馬市峰町木坂247,129.2832865,34.464089
賀茂御祖神社,玉依姫命 賀茂建角身命,京都府京都市左京区下鴨泉川町59,135.7724036,35.0382367
坐摩神社,坐摩神 (生井神、福井神、綱長井神、波比岐神、阿須波神の総称),大阪府大阪市中央区久太郎町四丁目渡辺3号,135.4985213,34.6806808
都波岐神社,都波岐神社：猿田彦大神 奈加等神社：天椹野命、中筒之男命,三重県鈴鹿市一ノ宮町1181,136.6012245,34.9012783
伊射波神社,稚日女尊 伊佐波登美命 玉柱屋姫命 狭依姫命,三重県鳥羽市安楽島町字加布良古1210,136.8621335,34.4634427
事任八幡宮,己等乃麻知媛命,静岡県掛川市八坂642,138.0754278,34.79839
氷川女体神社,奇稲田姫命,埼玉県さいたま市緑区宮本2丁目17-1,139.6937576,35.8869211
小野神社,天下春命 瀬織津比咩命 伊弉諾尊 素盞嗚尊 大己貴大神 瓊々杵尊彦 火火出見尊 倉稲魂命,東京都多摩市一ノ宮1丁目18-8,139.4422677,35.6529882
洲崎神社,天比理乃咩命,千葉県館山市洲崎1697,139.7567265,34.9699767
